objectid;fisiologia;altura;diametro;pap;perimetro;altura_fus
102246;Perennifolio;2.14654374122619;1.60000002384185;0;0.639999985694885;0.782002925872802
78395;Perennifolio;2.63815641403198;1.10000002384185;0.360000014305115;0.370000004768372;1.58871912956237
152982;Caducifolio;2.5047378540039;2.90000009536743;0;0.319999992847443;0.946961522102355
6636;Perennifolio;11.15318775177;4;0.899999976158142;1;7.13344383239746
139652;Semicaducifolio;3.34623646736145;3.59999990463256;0;0.889999985694885;0.470257520675659
45079;Perennifolio;1.67999994754791;1.39999997615814;0;0.300000011920929;0.899999976158142
146426;Semicaducifolio;2.36866879463195;2.09999990463256;0;0.519999980926513;0.184093952178955
165609;Caducifolio;1.85646045207977;2.25;0;0.300000011920929;1.15310251712799
34972;Perennifolio;3.06138396263122;2.70000004768371;0;0.970000028610229;0.814224779605865
163282;Caducifolio;2.99290418624877;2.79999995231628;0.129999995231628;0.46000000834465;1.48993957042694
115900;Perennifolio;2.21712374687194;1.8400000333786;0;0.46000000834465;0.537261605262756
69702;Perennifolio;2.06157159805297;1;0;0.370000004768372;1.1500140428543
132482;Semicaducifolio;1.70000004768371;1;0;0.100000001490116;1
